"","X1","WBS","STI","long_distance","Fx","Fy","MI_X","MI_Y"
"116",2009-06-18,0.562049062049062,0.518382352941176,NA,0.558441558441558,0.662337662337662,0.34897593581194,0.74830865110434
"117",2009-06-19,0.566378066378066,0.543783422459893,NA,0.619047619047619,0.857142857142857,0.112949346925572,0.943487142443823
"118",2009-06-22,0.564213564213564,0.501002673796791,NA,0.476190476190476,0.0735930735930736,0.912259724006658,0.0401138272657166
"119",2009-06-23,0.560606060606061,0.516377005347594,NA,0.458874458874459,0.783549783549784,0.0811283158464146,0.956107378709898
"120",2009-06-24,0.54040404040404,0.518716577540107,NA,0.16017316017316,0.597402597402597,0.0486652531778783,0.949722074292368
"121",2009-06-25,0.525252525252525,0.521390374331551,NA,0.242424242424242,0.601731601731602,0.0870171946344533,0.928546727224488
"122",2009-06-26,0.578643578643579,0.531751336898396,NA,0.982683982683983,0.722943722943723,0.99297325061095,0.0540343809049727
"123",2009-06-29,0.591630591630592,0.546457219251337,NA,0.748917748917749,0.779220779220779,0.48824121861778,0.64474026054639
"124",2009-06-30,0.580808080808081,0.549799465240642,NA,0.363636363636364,0.61038961038961,0.17059993346823,0.875902329901548
"125",2009-07-01,0.583694083694084,0.545788770053476,NA,0.584415584415584,0.476190476190476,0.731916343336963,0.351845173877732
